No,Group,Name,Div,Baxter,B (ASCII),Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun,한국음 (종합),일본음(吳),일본음(漢),만다린 (종합),幇組,見組 등,精組,端組,來,娘,知組,莊組,章組
126,梗攝 eng,青合,4,weng,weng,iweŋ,uɛŋ,iweŋ,wɛjŋ,weŋ,ueŋ,ʷeŋ,영,wyau,ei,"iong,ueng,ing",,"jiong, ying",,,,,,,
127,梗攝 eng,錫開,4,ek,ek,iek̚,ɛk̚,iek̚,ɛjk̚,ek̚,ek̚,ek̚,역,yaku,eki,i,i,i,i,i,i,,,,
128,梗攝 eng,錫合,4,wek,wek,iwek̚,uɛk̚,iwek̚,wɛjk̚,wek̚,uek̚,ʷek̚,역,wyaku?,weki?,"u,ü,i",,ü,,,,,,,
129,梗攝 eng,登開,1,ong,ong,əŋ,əŋ,əŋ,əŋ,əŋ,əŋ,əŋ,응,ou,ou,eng,eng,eng,eng,eng,eng,,,,
130,梗攝 eng,登合,1,wong,wong,wəŋ,uəŋ,uəŋ,wəŋ,wəŋ,uəŋ,ʷəŋ,옹,uu,ou,"ueng,eng",,ong,,,,,,,
131,梗攝 eng,德開,1,ok,ok,ək̚,ək̚,ək̚,ək̚,ək̚,ək̚,ək̚,윽,oku,oku,"e,o",o ~ ei,e ~ ei,e ~ ei,e ~ ei,e ~ ei,,,,
132,梗攝 eng,德合,1,wok,wok,wək̚,uək̚,uək̚,wək̚,wək̚,uək̚,ʷək̚,"옥,욱","oku, aku",oku,"uo,o",,uo,,,,,,,
133,曾攝 erng,蒸,3,ing,ing,i̯əŋ,ieŋ,ĭəŋ,iŋ,ɨŋ,iəŋ,ɨŋ,"응,잉",you,"you, wyou","ing,eng",ing,ing,eng,,ing,,ing,ing,ing
134,曾攝 erng,職開,3,ik,ik,i̯ək̚,iek̚,ĭək̚,ik̚,ɨk̚,iək̚,ɨk̚,"윽,익","oku, yoku","oku, yoku","i,e",i,i,i,,i,,i,e ~ ai,i
135,曾攝 erng,職合,3,wik,wik,i̯wək̚,iuek̚,ĭwək̚,wik̚,wɨk̚,iuək̚,ʷɨk̚,역,?,wiku?,"u,ü,i",,ü,,,,,,,
136,流攝 eu,尤,3,juw,juw,i̯ə̯u,iəu,ĭəu,uw,ɨu,iu,iu,"우,유","u, yu","u, yu","ou,iu,iou",u,iou,iou,,iou,iou,ou,ou,ou
137,流攝 eu,侯,1,uw,uw,ə̯u,əu,əu,əw,əu,u,əu,우(오),"u, o, yu","o, ou",ou,ou,ou,ou,ou,ou,,,,
138,流攝 eu,幽,3,jiw,jiw,ieu,ieu,iəu,jiw,iɪu,iĕu,ɨu,유,eu,iu,"iu,ou,iao",iao,iou,,,,,,,
139,深攝 em,侵三,3,jim,jim,i̯əm,jem,ĭĕm,im,iɪm,iəm,im,임(읍),im,im,"in,en",in,in,in,,in,in,en,en,en
140,深攝 em,侵重鈕三,3,im,im,i̯əm,iem,ĭĕm,jim,ˠiɪm,jəm,ᵚim,"음(ᄋᆞᆷ,움)","om, im",im,"in,en",in,in,in,,in,in,en,en,en
141,深攝 em,緝三,3,jip,jip,i̯əp̚,jep̚,ĭĕp̚,ip̚,iɪp̚,iəp̚,ip̚,읍,ipu,ipu,"i,e",ㅁㄹ,i,i,,i,i,i,i,i
142,深攝 em,緝重鈕三,3,ip,ip,i̯əp̚,iep̚,ĭĕp̚,jip̚,ˠiɪp̚,jəp̚,ᵚip̚,읍(ᄋᆞᆸ),ipu,ipu,"i,e",ㅁㄹ,i,i,,i,i,i,i,i
143,咸攝 am,談,1,am,am,ɑm,ɑm,ɑm,am,ɑm,ɑm,ɑm,암,am,am,an,,an,an,an,an,,,,
144,咸攝 am,盍,1,ap,ap,ɑp̚,ɑp̚,ɑp̚,ap̚,ɑp̚,ɑp̚,ɑp̚,압,apu,apu,"a,e",,e,a,a,a,,,,
145,咸攝 am,嚴,3,jæm,jaem,i̯ɐm,iɐm,ĭɐm,ɨam,ɨɐm,iɐm,iɐm,엄,om,em,"an,ian",,ian,,,,,,,
146,咸攝 am,凡,3,jom,jom,i̯wɐm,iɐm,ĭwɐm,uam,ɨɐm,iɐm,iɐm,업,"om, am",am,"uan,an",an,ian,,,,,,,
147,咸攝 am,業,3,jæp,jaep,i̯ɐp̚,iɐp̚,ĭɐp̚,ɨap̚,ɨɐp̚,iap̚,iɐp̚,업,"opu, apu",epu,"ie,e",,ie,,,,,,,
148,咸攝 am,乏,3,jop,jop,i̯wɐp̚,iɐp̚,ĭwɐp̚,uap̚,ɨɐp̚,iɐp̚,iɐp̚,업,opu,apu,"a,ia",a,ie,,,,,ㅁㄹ,,
149,咸攝 am,銜,2,æm,aem,am,am,am,aɨm,ˠam,am,ᵚam,암,am,am,"an,ian",,ian,,,,,,an,
150,咸攝 am,狎,2,æp,aep,ap̚,ap̚,ap̚,aɨp̚,ˠap̚,ap̚,ᵚap̚,압,"apu, epu","apu, epu","a,ia",,ia,,,,,a,a,
151,咸攝 am,咸,2,ɛm,eam,ăm,ɐm,ɐm,əɨm,ˠɛm,ɐm,ᵚæm,암,"em, am","em, am","an,ian",,ian,,,,,an,an,
152,咸攝 am,洽,2,ɛp,eap,ăp̚,ɐp̚,ɐp̚,əɨp̚,ˠɛp̚,ɐp̚,ᵚæp̚,압,"apu, epu",apu,"a,ia",,ia,,,,,a,a,
153,咸攝 am,鹽三,3,jiem,jiem,i̯ɛm,jæm,ĭɛm,iam,iᴇm,iɛm,iɛm,염,em,em,"ian,an",ian,ian,ian,,ian,ian,an,an,an
154,咸攝 am,鹽重鈕三,3,jem,jem,i̯ɛm,iæm,ĭɛm,jiam,ˠiᴇm,jɛm,ᵚiɛm,엄,em,em,"ian,an",ian,ian,ian,,ian,ian,an,an,an
155,咸攝 am,葉三,3,jiep,jiep,i̯ɛp̚,jæp̚,ĭɛp̚,iap̚,iᴇp̚,iɛp̚,iɛp̚,엽,epu,epu,"ie,e",,ie,ie,,ie,ie,e,e?,e
156,咸攝 am,葉重鈕三,3,jep,jep,i̯ɛp̚,iæp̚,ĭɛp̚,jiap̚,ˠiᴇp̚,jɛp̚,ᵚiɛp̚,업,epu,epu,"ie,e",,ie,ie,,ie,ie,e,e?,e
157,咸攝 am,添,4,em,em,iem,ɛm,iem,ɛm,em,em,em,염,em,em,"ian,an",,ian,ian,ian,ian,,,,
158,咸攝 am,帖/怗,4,ep,ep,iep̚,ɛp̚,iep̚,ɛp̚,ep̚,ep̚,ep̚,엽,epu,epu,"ie,e",,ie,ie,ie,ie,ie,,,
159,咸攝 am,覃,1,om,om,ăm,ɒm,ɒm,əm,ʌm,ᴀm,əm,암,"am, om",am,an,,an,an,an,an,,,,
160,咸攝 am,合,1,op,op,ăp̚,ɒp̚,ɒp̚,əp̚,ʌp̚,ᴀp̚,əp̚,압,"apu, opu",apu,"a,e",,e,a,a,a,,,,
